albums,singers,titles
쇼미더머니 9 Episode 1,제시 (Jessi),Freak (Prod. Slom)
한잔이면 지워질까,전미도,한잔이면 지워질까
What Do I Call You - The 4th Mini Album,윤하 (YOUNHA),What Do I Call You
잔나비 소곡집 l,청하,가을밤에 든 생각
멜로디,Christopher,멜로디
쇼미더머니 9 Episode 3,임영웅,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom)
다시 여기 바닷가,미란이 (Mirani),다시 여기 바닷가
Full Bloom (만개),마크툽 (MAKTUB),안녕 내 전부였던 너
FLOWER 9,이라온,눈이 멀었다
쇼미더머니 9 Final,릴보이 (lIlBOI),"ON AIR (Feat. 로꼬, 박재범 & GRAY)"
